코드,제형,주성분명칭,분류번호,투여,함량,단위
607900BIJ,IJ,L-serine,325,주사,2.96,g(A액456mL중)
607900BIJ,IJ,L-threonine,325,주사,2,g(A액456mL중)
607900BIJ,IJ,L-tryptophan,325,주사,0.91,g(A액456mL중)
607900BIJ,IJ,L-tyrosine,325,주사,0.18,g(A액456mL중) 
607900BIJ,IJ,L-valine,325,주사,2.83,g(A액456mL중)
607900BIJ,IJ,magnesium sulphate heptahydrate,325,주사,1.13,g(A액456mL중)
607900BIJ,IJ,medium-chain triglycerides,325,주사,12.24,g(C액204mL중)
607900BIJ,IJ,potassium chloride,325,주사,2.04,g(A액456mL중) 
607900BIJ,IJ,purified fish oil,325,주사,6.12,g(C액204mL중)
607900BIJ,IJ,purified olive oil,325,주사,10.2,g(C액204mL중)
607900BIJ,IJ,purified soybean oil,325,주사,12.24,g(C액204mL중)
607900BIJ,IJ,sodium acetate trihydrate,325,주사,2.56,g(A액456mL중) 
607900BIJ,IJ,sodium glycerophosphate,325,주사,1.9,g(A액456mL중) 
607900BIJ,IJ,taurine,325,주사,0.46,g(A액456mL중)
607900BIJ,IJ,zinc sulphate heptahydrate,325,주사,10,mg(A액456mL중) 
608000BIJ,IJ,calcium chloride dihydrate,325,주사,0.44,g(A액600mL중) 
608000BIJ,IJ,glucose monohydrate (as glucose),325,주사,134.68,g(B액1036mL중)
608000BIJ,IJ,glycine,325,주사,6.6,g(A액600mL중) 
608000BIJ,IJ,L-alanine,325,주사,8.4,g(A액600mL중) 
608000BIJ,IJ,L-arginine,325,주사,7.2,g(A액600mL중)
608000BIJ,IJ,L-histidine,325,주사,1.8,g(A액600mL중)
608000BIJ,IJ,L-isoleucine,325,주사,3,g(A액600mL중)
608000BIJ,IJ,L-leucine,325,주사,4.44,g(A액600mL중)
608000BIJ,IJ,L-lysine acetate,325,주사,5.58,g(A액600mL중)
608000BIJ,IJ,L-methionine,325,주사,2.58,g(A액600mL중)
608000BIJ,IJ,L-phenylalanine,325,주사,3.06,g(A액600mL중) 
608000BIJ,IJ,L-proline,325,주사,6.72,g(A액600mL중)
608000BIJ,IJ,L-serine,325,주사,3.9,g(A액600mL중)
608000BIJ,IJ,L-threonine,325,주사,2.64,g(A액600mL중)
608000BIJ,IJ,L-tryptophan,325,주사,1.2,g(A액600mL중)
608000BIJ,IJ,L-tyrosine,325,주사,0.24,g(A액600mL중) 
608000BIJ,IJ,L-valine,325,주사,3.72,g(A액600mL중)
608000BIJ,IJ,magnesium sulphate heptahydrate,325,주사,1.48,g(A액600mL중)
608000BIJ,IJ,medium-chain triglycerides,325,주사,16.08,g(C액268mL중)
608000BIJ,IJ,potassium chloride,325,주사,2.69,g(A액600mL중) 
608000BIJ,IJ,purified fish oil,325,주사,8.04,g(C액268mL중)
608000BIJ,IJ,purified olive oil,325,주사,13.4,g(C액268mL중)
608000BIJ,IJ,purified soybean oil,325,주사,16.08,g(C액268mL중)
608000BIJ,IJ,sodium acetate trihydrate,325,주사,3.372,g(A액600mL중)
608000BIJ,IJ,sodium glycerophosphate,325,주사,2.5,g(A액600mL중) 
608000BIJ,IJ,taurine,325,주사,0.6,g(A액600mL중)
608000BIJ,IJ,zinc sulphate heptahydrate,325,주사,14,mg(A액600mL중) 
608100BIS,IS,calcium chloride(2백),349,주사,513.872,mg/2ℓ
608100BIS,IS,dextrose monohydrate(2백),349,주사,54.986,g/2ℓ
608100BIS,IS,magnesium chloride(2백),349,주사,101.975,mg/2ℓ
608100BIS,IS,sodium chloride(2백),349,주사,10.757,g/2ℓ
608100BIS,IS,sodium lactate(2백),349,주사,8.958,g/2ℓ
608200BIS,IS,calcium chloride(2백),349,주사,642.34,mg/2.5ℓ
608200BIS,IS,dextrose monohydrate(2백),349,주사,68.733,g/2.5ℓ
608200BIS,IS,magnesium chloride(2백),349,주사,127.469,mg/2.5ℓ
608200BIS,IS,sodium chloride(2백),349,주사,13.446,g/2.5ℓ
608200BIS,IS,sodium lactate(2백),349,주사,11.198,g/2.5ℓ
608300BIS,IS,calcium chloride,349,주사,513.872,mg/2ℓ
608300BIS,IS,dextrose monohydrate,349,주사,54.986,g/2ℓ
608300BIS,IS,magnesium chloride,349,주사,101.975,mg/2ℓ
608300BIS,IS,sodium chloride,349,주사,10.757,g/2ℓ
608300BIS,IS,sodium lactate,349,주사,8.958,g/2ℓ
608400BIS,IS,calcium chloride,349,주사,642.34,mg/2.5ℓ
608400BIS,IS,dextrose monohydrate,349,주사,68.733,g/2.5ℓ
608400BIS,IS,magnesium chloride,349,주사,127.469,mg/2.5ℓ
608400BIS,IS,sodium chloride,349,주사,13.446,g/2.5ℓ
608400BIS,IS,sodium lactate,349,주사,11.198,g/2.5ℓ
608500BIS,IS,calcium chloride,349,주사,771,mg/3ℓ
608500BIS,IS,dextrose monohydrate,349,주사,82.5,g/3ℓ
608500BIS,IS,magnesium chloride,349,주사,153,mg/3ℓ
608500BIS,IS,sodium chloride,349,주사,16.14,g/3ℓ
608500BIS,IS,sodium lactate,349,주사,13.44,g/3ℓ
608600BIS,IS,calcium chloride,349,주사,"1,284.68",mg/5ℓ
608600BIS,IS,dextrose monohydrate,349,주사,137.466,g/5ℓ
608600BIS,IS,magnesium chloride,349,주사,254.938,mg/5ℓ
608600BIS,IS,sodium chloride,349,주사,26.892,g/5ℓ
608600BIS,IS,sodium lactate,349,주사,22.396,g/5ℓ
608700BIS,IS,calcium chloride(2백),349,주사,513.872,mg/2ℓ
608700BIS,IS,dextrose monohydrate(2백),349,주사,87.978,g/2ℓ
608700BIS,IS,magnesium chloride(2백),349,주사,101.975,mg/2ℓ
608700BIS,IS,sodium chloride(2백),349,주사,10.757,g/2ℓ
608700BIS,IS,sodium lactate(2백),349,주사,8.958,g/2ℓ
608800BIS,IS,calcium chloride(2백),349,주사,642.34,mg/2.5ℓ
608800BIS,IS,dextrose monohydrate(2백),349,주사,109.973,g/2.5ℓ
608800BIS,IS,magnesium chloride(2백),349,주사,127.469,mg/2.5ℓ
608800BIS,IS,sodium chloride(2백),349,주사,13.446,g/2.5ℓ
608800BIS,IS,sodium lactate(2백),349,주사,11.198,g/2.5ℓ
608900BIS,IS,calcium chloride,349,주사,513.872,mg/2ℓ
608900BIS,IS,dextrose monohydrate,349,주사,87.978,g/2ℓ
608900BIS,IS,magnesium chloride,349,주사,101.975,mg/2ℓ
608900BIS,IS,sodium chloride,349,주사,10.757,g/2ℓ
608900BIS,IS,sodium lactate,349,주사,8.958,g/2ℓ
609000BIS,IS,calcium chloride,349,주사,642.34,mg/2.5ℓ
609000BIS,IS,dextrose monohydrate,349,주사,109.973,g/2.5ℓ
609000BIS,IS,magnesium chloride,349,주사,127.469,mg/2.5ℓ
609000BIS,IS,sodium chloride,349,주사,13.446,g/2.5ℓ
609000BIS,IS,sodium lactate,349,주사,11.198,g/2.5ℓ
609100BIS,IS,calcium chloride,349,주사,771,mg/3ℓ
609100BIS,IS,dextrose monohydrate,349,주사,132,g/3ℓ
609100BIS,IS,magnesium chloride,349,주사,153,mg/3ℓ
609100BIS,IS,sodium chloride,349,주사,16.14,g/3ℓ
609100BIS,IS,sodium lactate,349,주사,13.44,g/3ℓ
609200BIS,IS,calcium chloride,349,주사,"1,284.68",mg/5ℓ
609200BIS,IS,dextrose monohydrate,349,주사,219.946,g/5ℓ
609200BIS,IS,magnesium chloride,349,주사,254.938,mg/5ℓ
609200BIS,IS,sodium chloride,349,주사,26.892,g/5ℓ
609200BIS,IS,sodium lactate,349,주사,22.396,g/5ℓ
609300BIJ,IJ,calcium chloride,331,주사,1,g
609300BIJ,IJ,maltose,331,주사,250,g
609300BIJ,IJ,potassium chloride,331,주사,1.5,g
609300BIJ,IJ,sodium chloride,331,주사,30,g
609300BIJ,IJ,sodium lactate,331,주사,31,g
609401ATB,TB,salicis cortex 70% ethanol dry ext. (6-12→1),114,내복,0.4054,g
609600BIS,IS,calcium chloride,341,주사,25.72,g/4ℓ
609600BIS,IS,dextrose,341,주사,350,g/4ℓ
609600BIS,IS,magnesium chloride,341,주사,21.36,g/4ℓ
609600BIS,IS,potassium chloride,341,주사,27.16,g/4ℓ
609600BIS,IS,sodium acetate,341,주사,696,g/4ℓ
609600BIS,IS,sodium chloride,341,주사,796,g/4ℓ
609700BIJ,IJ,dextrose,331,주사,12.5,g/250ml
609700BIJ,IJ,dextran-40,331,주사,25,g/250ml
609800BIJ,IJ,dextrose,331,주사,50,g/1000ml
609800BIJ,IJ,dextran-40,331,주사,100,g/1000ml
609900BIJ,IJ,calcium chloride,331,주사,33,mg/100ml
609900BIJ,IJ,fructose,331,주사,10,g/100ml
609900BIJ,IJ,potassium chloride,331,주사,30,mg/100ml
609900BIJ,IJ,sodium chloride,331,주사,860,mg/100ml
610000BIJ,IJ,calcium chloride,331,주사,82.5,mg/250ml
610000BIJ,IJ,fructose,331,주사,25,g/250ml
610000BIJ,IJ,potassium chloride,331,주사,75,mg/250ml
610000BIJ,IJ,sodium chloride,331,주사,"2,150",mg/250ml
610100BIJ,IJ,calcium chloride,331,주사,330,mg/1000ml
610100BIJ,IJ,fructose,331,주사,100,g/1000ml
610100BIJ,IJ,potassium chloride,331,주사,300,mg/1000ml
610100BIJ,IJ,sodium chloride,331,주사,"8,600",mg/1000ml
610200BIJ,IJ,calcium chloride,331,주사,50,mg/250ml
610200BIJ,IJ,maltose,331,주사,12.5,mg/250ml
610200BIJ,IJ,potassium chloride,331,주사,75,mg/250ml
610200BIJ,IJ,sodium chloride,331,주사,1.5,mg/250ml
610200BIJ,IJ,sodium lactate,331,주사,775,mg/250ml
610300BIS,IS,calcium chloride,349,주사,88,mg/500ml
610300BIS,IS,magnesium chloride,349,주사,1.625,g/500ml
610300BIS,IS,potassium chloride,349,주사,0.595,g/500ml
610300BIS,IS,sodium chloride,349,주사,3.215,g/500ml
610400BIJ,IJ,dextrose,331,주사,8.6,g/200ml
610400BIJ,IJ,potassium chloride,331,주사,298,mg/200ml
610400BIJ,IJ,sodium chloride,331,주사,180,mg/200ml
610400BIJ,IJ,sodium lactate,331,주사,448,mg/200ml
610500BIJ,IJ,aminoacetic acid(glycine) ,325,주사,0.768,g(B액99.84mL중) 
610500BIJ,IJ,calcium chloride 2H2O ,325,주사,0.096,g(B액99.84mL중) 
610500BIJ,IJ,glucose 11%(glucose anhydate 64.896g) ,325,주사,295.2,mL(A액295.2mL중) 
610500BIJ,IJ,intralipid 20%(purified soybean oil 33.984g) ,325,주사,84.96,mL(C액84.96mL중)
610500BIJ,IJ,L-alanine ,325,주사,1.584,g(B액99.84mL중) 
610500BIJ,IJ,L-arginine ,325,주사,1.152,g(B액99.84mL중)
610500BIJ,IJ,L-aspartic acid ,325,주사,0.3408,g(B액99.84mL중)
610500BIJ,IJ,L-glutamic acid ,325,주사,0.576,g(B액99.84mL중)
610500BIJ,IJ,L-histidine,325,주사,0.672,g(B액99.84mL중)
610500BIJ,IJ,L-isoleucine ,325,주사,0.576,g(B액99.84mL중)
610500BIJ,IJ,L-leucine ,325,주사,0.768,g(B액99.84mL중)
610500BIJ,IJ,L-lysine hydrochloride ,325,주사,1.152,g(B액99.84mL중)
610500BIJ,IJ,L-methionine ,325,주사,0.576,g(B액99.84mL중)
610500BIJ,IJ,L-phenylalanine ,325,주사,0.768,g(B액99.84mL중)
610500BIJ,IJ,L-proline ,325,주사,0.672,g(B액99.84mL중)
610500BIJ,IJ,L-serine ,325,주사,0.4512,g(B액99.84mL중) 
610500BIJ,IJ,L-threonine ,325,주사,0.576,g(B액99.84mL중)  
610500BIJ,IJ,L-tryptophan ,325,주사,0.192,g(B액99.84mL중) 
610500BIJ,IJ,L-tyrosine ,325,주사,0.024,g(B액99.84mL중)  
610500BIJ,IJ,L-valine ,325,주사,0.72,g(B액99.84mL중)  
610500BIJ,IJ,magnesium sulfate 7H2O ,325,주사,0.336,g(B액99.84mL중)  
610500BIJ,IJ,potassium chloride ,325,주사,0.576,g(B액99.84mL중)  
610500BIJ,IJ,sodium acetate 3H2O ,325,주사,0.816,g(B액99.84mL중)  
610500BIJ,IJ,sodium glycerophosphate ,325,주사,0.48,g(B액99.84mL중)
610600BIJ,IJ,calcium chloride dihydrate(B액250mL중) ,325,주사,165.5,mg
610600BIJ,IJ,dextrose monohydrate(A액250mL중),325,주사,41.25,g
610600BIJ,IJ,glycine(A액250mL중) ,325,주사,"1,415",mg
610600BIJ,IJ,L-alanine(A액250mL중) ,325,주사,"2,845",mg
610600BIJ,IJ,L-arginine(A액250mL중) ,325,주사,"1,580",mg
610600BIJ,IJ,L-histidine(A액250mL중) ,325,주사,660,mg
610600BIJ,IJ,L-leucine(A액250mL중) ,325,주사,"1,005",mg
610600BIJ,IJ,L-lsoleucine(A액250mL중)  ,325,주사,825,mg
610600BIJ,IJ,L-lysine hydrochloride(A액250mL중)  ,325,주사,"1,000",mg
610600BIJ,IJ,L-methionine(A액250mL중) ,325,주사,550,mg
610600BIJ,IJ,L-phenylalanine(A액250mL중)   ,325,주사,770,mg
610600BIJ,IJ,L-proline(A액250mL중)   ,325,주사,935,mg
610600BIJ,IJ,L-serine(A액250mL중)   ,325,주사,687.5,mg
610600BIJ,IJ,L-threoinine(A액250mL중)   ,325,주사,577.5,mg
610600BIJ,IJ,L-tryptophan(A액250mL중)   ,325,주사,247.5,mg
610600BIJ,IJ,L-tyrosine(A액250mL중)   ,325,주사,55,mg
610600BIJ,IJ,L-valine(A액250mL중)   ,325,주사,797.5,mg
610600BIJ,IJ,magnesium chloride hexahydrate(A액250mL중)  ,325,주사,255,mg
610600BIJ,IJ,potassium chloride(B액250mL중)   ,325,주사,745.5,mg
610600BIJ,IJ,potassium phosphate dibasic(A액250mL중)   ,325,주사,"1,305",mg
610600BIJ,IJ,sodium acetate trihydrate(A액250mL중)   ,325,주사,"1,077.5",mg
610600BIJ,IJ,sodium chloride(A액250mL중) ,325,주사,560,mg
610700BIJ,IJ,aminoacetic acid ,325,주사,825,mg(A액200mL중) 
610700BIJ,IJ,calcium chloride ,325,주사,184.98,mg(B액300mL중) 
610700BIJ,IJ,glucose monohydrate ,325,주사,44.01,g(B액300mL중) 
610700BIJ,IJ,L-alanine ,325,주사,"2,425",mg(A액200mL중) 
610700BIJ,IJ,L-arginine monoglutamate ,325,주사,"2,490",mg(A액200mL중) 
610700BIJ,IJ,L-aspartic acid ,325,주사,750,mg(A액200mL중) 
610700BIJ,IJ,L-glutamic acid ,325,주사,610,mg(A액200mL중) 
610700BIJ,IJ,L-histidine hydrochloride ,325,주사,845,mg(A액200mL중)  
610700BIJ,IJ,L-isoleucine ,325,주사,"1,170",mg(A액200mL중)  
610700BIJ,IJ,L-leucine ,325,주사,"1,565",mg(A액200mL중)  
610700BIJ,IJ,L-lysine hydrochloride ,325,주사,"1,420",mg(A액200mL중)  
610700BIJ,IJ,L-Methionine ,325,주사,980,mg(A액200mL중)  
610700BIJ,IJ,L-phenylalanine ,325,주사,"1,755",mg(A액200mL중)  
610700BIJ,IJ,L-proline ,325,주사,"1,700",mg(A액200mL중)  
610700BIJ,IJ,L-serine ,325,주사,"1,500",mg(A액200mL중)  
610700BIJ,IJ,L-threonine ,325,주사,910,mg(A액200mL중)  
610700BIJ,IJ,L-tryptophan ,325,주사,285,mg(A액200mL중)  
610700BIJ,IJ,L-valine ,325,주사,"1,300",mg(A액200mL중)  
610700BIJ,IJ,magnesium acetate ,325,주사,430,mg(A액200mL중)  
610700BIJ,IJ,potassium dihydrogen phosphate ,325,주사,390,mg(A액200mL중)  
610700BIJ,IJ,sodium acetate ,325,주사,780,mg(A액200mL중)  
610700BIJ,IJ,sodium chloride ,325,주사,84.99,mg(B액300mL중)
610800BIJ,IJ,alanine ,325,주사,16.98,g(C액1000mL중) 
610800BIJ,IJ,arginine ,325,주사,9.46,g(C액1000mL중) 
610800BIJ,IJ,asparaginic acid ,325,주사,5.26,g(C액1000mL중) 
610800BIJ,IJ,calcium chloride dihydrate ,325,주사,1.5575,g(C액1000mL중) 
610800BIJ,IJ,glucose monohydrate (as glucose anhydrate) ,325,주사,360,g(A액1000mL중) 
610800BIJ,IJ,glutamic acid ,325,주사,12.28,g(C액1000mL중) 
610800BIJ,IJ,glycine ,325,주사,5.78,g(C액1000m
610800BIJ,IJ,histidine hydrochloride monohydrate (as histidine) ,325,주사,4.38,g(C액1000mL중)  
610800BIJ,IJ,isoleucine ,325,주사,8.22,g(C액1000mL중)  
610800BIJ,IJ,leucine ,325,주사,10.96,g(C액1000mL중)  
610800BIJ,IJ,lysine hydrochloride (as lysine) ,325,주사,7.96,g(C액1000mL중) 
610800BIJ,IJ,magnesium acetate tetrahydrate ,325,주사,2.275,g(C액1000mL중)  
610800BIJ,IJ,medium chain triglyceride ,325,주사,50,g(B액500mL중)  
610800BIJ,IJ,methionine ,325,주사,6.84,g(C액1000mL중)  
610800BIJ,IJ,phenylalanine ,325,주사,12.3,g(C액1000mL중)  
610800BIJ,IJ,potassium acetate ,325,주사,9.2225,g(C액1000mL중)  
610800BIJ,IJ,proline ,325,주사,11.9,g(C액1000mL중)  
610800BIJ,IJ,serine ,325,주사,10.5,g(C액1000mL중)  
610800BIJ,IJ,sodium acetate trihydrate ,325,주사,0.625,g(C액1000mL중)  
610800BIJ,IJ,sodium chloride ,325,주사,0.945,g(C액1000mL중)  
610800BIJ,IJ,sodium dihydrogen phosphate ,325,주사,6.24,g(A액1000mL중)  
610800BIJ,IJ,sodium hydroxide ,325,주사,2.9275,g(C액1000mL중)  
610800BIJ,IJ,soybean oil ,325,주사,50,g(B액500mL중)  
610800BIJ,IJ,threonine ,325,주사,6.36,g(C액1000mL중)  
610800BIJ,IJ,tryptophan ,325,주사,2,g(C액1000mL중)  
610800BIJ,IJ,valine ,325,주사,9.02,g(C액1000mL중)  
610800BIJ,IJ,Zinc acetate dihydrate ,325,주사,17.56,mg(A액1000mL중)
610900BIJ,IJ,alanine ,325,주사,11.64,g(C액1000mL중)
610900BIJ,IJ,arginine ,325,주사,6.48,g(C액1000mL중) 
610900BIJ,IJ,asparaginic acid ,325,주사,3.6,g(C액1000mL중)
610900BIJ,IJ,calcium chloride dihydrate ,325,주사,1.175,g(C액1000mL중) 
610900BIJ,IJ,glucose monohydrate (as glucose anhydrate) ,325,주사,300,g(A액1000mL중) 
610900BIJ,IJ,glutamic acid ,325,주사,8.42,g(C액1000mL중)
610900BIJ,IJ,glycine ,325,주사,3.96,g(C액1000mL중)
610900BIJ,IJ,histidine hydrochloride monohydrate (as histidine) ,325,주사,3,g(C액1000mL중)  
610900BIJ,IJ,isoleucine ,325,주사,5.64,g(C액1000mL중)  
610900BIJ,IJ,leucine ,325,주사,7.52,g(C액1000mL중)  
610900BIJ,IJ,lysine hydrochloride (as lysine) ,325,주사,5.46,g(C액1000mL중)  
610900BIJ,IJ,magnesium acetate tetrahydrate ,325,주사,1.715,g(C액1000mL중)  
610900BIJ,IJ,medium chain triglyceride ,325,주사,50,g(B액500mL중)  
610900BIJ,IJ,methionine ,325,주사,4.7,g(C액1000mL중)  
610900BIJ,IJ,phenylalanine ,325,주사,8.42,g(C액1000mL중)  
610900BIJ,IJ,potassium acetate ,325,주사,6.8675,g(C액1000mL중)  
610900BIJ,IJ,proline ,325,주사,8.16,g(C액1000mL중)  
610900BIJ,IJ,serine ,325,주사,7.2,g(C액1000mL중)  
610900BIJ,IJ,sodium acetate trihydrate ,325,주사,0.555,g(C액1000mL중)  
610900BIJ,IJ,sodium chloride ,325,주사,1.005,g(C액1000mL중)  
610900BIJ,IJ,sodium dihydrogen phosphate dihydrate ,325,주사,4.68,g(A액1000mL중)  
610900BIJ,IJ,sodium hydroxide ,325,주사,1.9525,g(C액1000mL중)  
610900BIJ,IJ,soybean oil ,325,주사,50,g(B액500mL중)  
610900BIJ,IJ,threonine ,325,주사,4.36,g(C액1000mL중)  
610900BIJ,IJ,tryptophan ,325,주사,1.36,g(C액1000mL중)  
610900BIJ,IJ,valine ,325,주사,6.24,g(C액1000mL중)  
610900BIJ,IJ,Zinc acetate dihydrate ,325,주사,13.16,mg(A액1000mL중)
611000BIS,IS,calcium chloride(2백),349,주사,0.2743,g(A용액 0.75ℓ중)
611000BIS,IS,dextrose monohydrate(2백),349,주사,37.5,g(A용액 0.75ℓ중)
611000BIS,IS,magnesium chloride 6H2O(2백),349,주사,0.1525,g(A용액 0.75ℓ중)
611000BIS,IS,sodium bicarbonate(2백),349,주사,0.315,g(B용액 0.75ℓ중)
611000BIS,IS,sodium chloride(2백),349,주사,8.4593,g(A용액 0.75ℓ중)
611000BIS,IS, lactate 50% solution(2백),349,주사,11.7675,g(B용액 0.75ℓ중)
611600BIJ,IJ,"influenza virus antigen type A(H1N1), inactivated and purified",631,주사,9,㎍
611600BIJ,IJ,"influenza virus antigen type A(H3N2), inactivated and purified",631,주사,9,㎍
611600BIJ,IJ,"influenza virus antigen type b, inactivated and purified",631,주사,9,㎍
611701ASY,SY,Lacosamide,113,내복,15,mg
611702ATB,TB,Lacosamide,113,내복,50,mg
611703ATB,TB,Lacosamide,113,내복,0.1,g
611704ATB,TB,Lacosamide,113,내복,0.15,g
611705ATB,TB,Lacosamide,113,내복,0.2,g
611705BIJ,IJ,Lacosamide,113,주사,0.2,g
611706ASY,SY,lacosamide,113,내복,2,g(10mg/mL)
611801ATB,TB,pazopanib hydrochloride (as pazopanib),421,내복,0.2,g
611802ATB,TB,pazopanib hydrochloride (as pazopanib),421,내복,0.4,g
611901BIJ,IJ,Peramivir Hydrate (as Peramivir),629,주사,150,mg
611901CCH,CH,Indacaterol Maleate (as Indacaterol),229,외용,150,㎍
611901CSI,SI,indacaterol maleate (as indacaterol),229,외용,4.5,mg(0.15mg/캡슐)
611902CCH,CH,Indacaterol Maleate (as Indacaterol),229,외용,300,㎍
611902CSI,SI,indacaterol maleate (as indacaterol),229,외용,9,mg(0.3mg/캡슐)
612101CPC,PC,Rotigotine,119,외용,2.25,mg
612102CPC,PC,Rotigotine,119,외용,4.5,mg
612103CPC,PC,Rotigotine,119,외용,6.75,mg
612104CPC,PC,Rotigotine,119,외용,9,mg
612105CPC,PC,Rotigotine,119,외용,13.5,mg
612106CPC,PC,Rotigotine,119,외용,18,mg
612107CPC,PC,rotigotine,119,외용,6,mg for 24h
612108CPC,PC,rotigotine,119,외용,8,mg for 24h
612109CPC,PC,rotigotine,119,외용,1,mg for 24h
612110CPC,PC,rotigotine,119,외용,2,mg for 24h
612111CPC,PC,rotigotine,119,외용,3,mg for 24h
612112CPC,PC,rotigotine,119,외용,4,mg for 24h
612201BIJ,IJ,Liraglutide,396,주사,18,mg
612301BIJ,IJ,human immunoglobulin-G,634,주사,500,mg
612302BIJ,IJ,human immunoglobulin-G,634,주사,"1,000",mg
612303BIJ,IJ,human immunoglobulin-G,634,주사,"2,500",mg
612304BIJ,IJ,human immunoglobulin-G,634,주사,"5,000",mg
612305BIJ,IJ,human immunoglobulin-G,634,주사,10,g
612400BIJ,IJ,medium chain triglyceride,329,주사,50,g(0.1g/mL)
612400BIJ,IJ,omega 3 acid triglycerides,329,주사,10,g(20mg/mL)
612400BIJ,IJ,soybean oil,329,주사,40,g(80mg/mL)
612500BIJ,IJ,medium chain triglyceride,329,주사,10,g(0.1g/mL)
612500BIJ,IJ,omega 3 acid triglycerides,329,주사,2,g(20mg/mL)
612500BIJ,IJ,soybean oil,329,주사,8,g(80mg/mL)
612600BIS,IS,calcium chloride,341,주사,0.6775,g/2.5ℓ(C분획)
612600BIS,IS,dextrose,341,주사,"1,375",g/2.5ℓ(A분획 및 B분획)
612600BIS,IS,magnesium chloride,341,주사,0.135,g/2.5ℓ(C분획)
612600BIS,IS,sodium chloride,341,주사,13.45,g/2.5ℓ(A분획 및 B분획)
612600BIS,IS,sodium chloride,341,주사,13.45,g/2.5ℓ(C분획)
612600BIS,IS,sodium lactate,341,주사,11.8,g/2.5ℓ(C분획)
612700BIS,IS,calcium chloride(2백),349,주사,0.813,g/3ℓ(C분획)
612700BIS,IS,dextrose(2백),349,주사,"1,650",g/3ℓ(A분획 및 B분획)
612700BIS,IS,magnesium chloride(2백),349,주사,0.162,g/3ℓ(C분획)
612700BIS,IS,sodium chloride(2백),349,주사,16.14,g/3ℓ(A분획 및 B분획)
612700BIS,IS,sodium chloride(2백),349,주사,16.14,g/3ℓ(C분획)
612700BIS,IS,sodium lactate(2백),349,주사,14.16,g/3ℓ(C분획)
612800BIS,IS,calcium chloride(2백),349,주사,0.6775,g/2.5ℓ(C분획)
612800BIS,IS,dextrose(2백),349,주사,"1,375",g/2.5ℓ(A분획 및 B분획)
612800BIS,IS,magnesium chloride(2백),349,주사,0.135,g/2.5ℓ(C분획)
612800BIS,IS,sodium chloride(2백),349,주사,13.45,g/2.5ℓ(A분획 및 B분획)
612800BIS,IS,sodium chloride(2백),349,주사,13.45,g/2.5ℓ(C분획)
612800BIS,IS,sodium lactate(2백),349,주사,11.8,g/2.5ℓ(C분획)
612900BIS,IS,dextrose,341,주사,"1,650",g/3ℓ(A분획 및 B분획)
612900BIS,IS,magnesium chloride,341,주사,0.162,g/3ℓ(C분획)
612900BIS,IS,sodium chloride,341,주사,16.14,g/3ℓ(A분획 및 B분획)
612900BIS,IS,sodium chloride,341,주사,16.14,g/3ℓ(C분획)
612900BIS,IS,sodium lactate,341,주사,14.16,g/3ℓ(C분획)
613000CIS,IS,calcium chloride,349,외용,0.48,mg
613000CIS,IS,magnesium chloride,349,외용,0.3,mg
613000CIS,IS,potassium chloride,349,외용,0.75,mg
613000CIS,IS,sodium acetate,349,외용,3.9,mg
613000CIS,IS,sodium chloride,349,외용,6.4,mg
613000CIS,IS,sodium citrate,349,외용,1.7,mg
613101ATB,TB,agomelatine,117,내복,25,mg
613200ALQ,LQ,milk-thistle fruit 30% ethanol tinc.(1:2.5~3.5),239,내복,0.1,ml
613200ALQ,LQ,chelidonii herba 30% ethanol tinc.(1:2.5~3.5),239,내복,0.1,ml
613200ALQ,LQ,angelica root 30% ethanol tinc.(1:2.5~3.5),239,내복,0.1,ml
613200ALQ,LQ,iberis amara 50% ethanol tinc.(1:1.5~2.5),239,내복,0.15,ml
613200ALQ,LQ,caraway fruit 30% ethanol tinc.(1:2.5~3.5),239,내복,0.1,ml
613200ALQ,LQ,peppermint leaf 30% ethanol tinc.(1:2.5~3.5),239,내복,0.05,ml
613200ALQ,LQ,matricaria flower 30% ethanol tinc.(1:2~4),239,내복,0.2,ml
613200ALQ,LQ,glycyrrhiza 30% ethanol tinc.(1:2.5~3.5),239,내복,0.1,ml
613200ALQ,LQ,balm leaf 30% ethanol tinc.(1:2.5~3.5),239,내복,0.1,ml
613301ATB,TB,saxagliptin hydrate (as saxagliptin),396,내복,2.5,mg
613302ATB,TB,saxagliptin hydrate (as saxagliptin),396,내복,5,mg
613401BIJ,IJ,corifollitropin α,247,주사,100,μg
613402BIJ,IJ,corifollitropin α,247,주사,150,μg
613430BIJ,IJ,corifollitropin α,247,주사,0.15,mg(0.3mg/mL)
613431BIJ,IJ,corifollitropin α,247,주사,0.1,mg(0.2mg/mL)
613501APD,PD,5-aminolevulinic acid hydrochloride,439,내복,1.5,g
613600CLQ,LQ,tetraacetylethylenediamine,739,외용,15,g/0.25ℓ(제2제)
613600CLQ,LQ,sodium perborate monohydrate,739,외용,71.25,g/4.75ℓ(제1제)
613701ACH,CH,dabigatran etexilate mesylate (as dabigatran etexilate),333,내복,0.11,g
613702ACH,CH,dabigatran etexilate mesylate (as dabigatran etexilate),333,내복,0.15,g
613703ACH,CH,dabigatran etexilate mesylate (as dabigatran etexilate),333,내복,75,mg
613800BIS,IS,Sodium Chloride,341,주사,89.414,g
613800BIS,IS,Sodium Bicarbonate,341,주사,250.61,g
